
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C8:9E:43:6C:0F:32, 2024-03-31 18:50:26, 2024-03-31 18:51:23,  9, 130, WPA2, CCMP, PSK, -74,        9,        4,   0.  0.  0.  0,   8, BigDaddy, 
D0:FC:D0:C5:43:34, 2024-03-31 18:50:30, 2024-03-31 18:51:22,  6, 260, WPA2, CCMP, PSK, -42,        3,        0,   0.  0.  0.  0,  10, ATT4rqWZdE, 
28:74:F5:AA:B9:A4, 2024-03-31 18:50:32, 2024-03-31 18:51:21,  1, 260, WPA2, CCMP, PSK, -84,        2,        1,   0.  0.  0.  0,  10, ATTVkquYIF, 
3C:58:5D:61:A8:16, 2024-03-31 18:50:32, 2024-03-31 18:51:22,  1, 720, WPA3 WPA2, CCMP, SAE PSK, -71,        8,        0,   0.  0.  0.  0,  12, TMOBILE-WIFI, 
08:9B:B9:0C:73:74, 2024-03-31 18:50:32, 2024-03-31 18:51:22,  2, 260, WPA2, CCMP, PSK, -75,        7,        2,   0.  0.  0.  0,  10, ATTM5sGWzg, 
2C:58:4F:62:91:A0, 2024-03-31 18:50:32, 2024-03-31 18:51:22,  4, 195, WPA2, CCMP, PSK, -80,        8,       27,   0.  0.  0.  0,  16, CalgonTakeMeAway, 
1E:30:08:61:0D:34, 2024-03-31 18:50:33, 2024-03-31 18:51:22,  4, 130, WPA2, CCMP, PSK, -87,        3,        0,   0.  0.  0.  0,   0, , 
A2:9B:16:51:55:92, 2024-03-31 18:50:33, 2024-03-31 18:51:22,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -60,        5,        0,   0.  0.  0.  0,  14, , 
88:96:4E:01:C2:80, 2024-03-31 18:50:33, 2024-03-31 18:51:22,  8, 195, WPA2, CCMP, PSK, -67,        5,        0,   0.  0.  0.  0,  10, ATTd7DNC8s, 
C2:D7:AA:FE:3E:8D, 2024-03-31 18:50:33, 2024-03-31 18:51:22,  8, 260, WPA3 WPA2, CCMP, SAE PSK, -91,        3,        0,   0.  0.  0.  0,   0, , 
B4:63:6F:0F:71:74, 2024-03-31 18:50:33, 2024-03-31 18:51:23, 11, 260, WPA2, CCMP, PSK, -89,        4,        1,   0.  0.  0.  0,  27, coathangersarenothealthcare, 
B4:63:6F:0F:71:75, 2024-03-31 18:50:33, 2024-03-31 18:50:55, 11, 260, WPA2, CCMP, PSK, -101,        3,        1,   0.  0.  0.  0,   5, guest, 
14:7D:05:CE:20:F7, 2024-03-31 18:50:33, 2024-03-31 18:51:23, 11, 720, WPA2, CCMP, PSK, -54,        4,        0,   0.  0.  0.  0,  16, SpectrumSetup-F5, 
4C:01:43:34:AB:35, 2024-03-31 18:50:33, 2024-03-31 18:50:33, 11, 360, OPN, ,   , -82,        1,        0,   0.  0.  0.  0,   0, , 
4C:01:43:34:AB:31, 2024-03-31 18:50:33, 2024-03-31 18:50:33, 11, 360, WPA3 WPA2, CCMP, SAE, -82,        1,        0,   0.  0.  0.  0,   0, , 
4C:01:43:34:AB:33, 2024-03-31 18:50:33, 2024-03-31 18:50:33, 11, 360, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,  25, MAINPCDESK-PC_Network_EXT, 
4C:AB:F8:01:16:40, 2024-03-31 18:50:34, 2024-03-31 18:51:23, 11, 720, WPA2, CCMP, PSK, -75,        4,        2,   0.  0.  0.  0,  12, rodriguez 5G, 
90:3E:AB:B8:9B:10, 2024-03-31 18:50:34, 2024-03-31 18:50:34, 11, 130, WPA2, CCMP, PSK, -103,        1,        0,   0.  0.  0.  0,  10, ATT6k3M2h7, 
14:7D:05:CE:20:F6, 2024-03-31 18:50:34, 2024-03-31 18:50:54, 44, 1733, WPA2, CCMP, PSK, -71,        2,        6,   0.  0.  0.  0,  16, SpectrumSetup-F5, 
B6:7D:05:CE:20:F6, 2024-03-31 18:50:34, 2024-03-31 18:50:54, 44, 1733, WPA2, CCMP, MGT, -71,        2,        0,   0.  0.  0.  0,  15, Spectrum Mobile, 
